smiles,martini_bead,dg_wo_aa,dg_wo_cg,apka,bpka,acidity,log_perm_coeff,n_atoms
CC(C#N)C1(C)CN1,P1_SP1,-0.096,1.08,NOT,5.45,B,-3.133,8
CC1(CN1)C(N)C=C,SP1_P1,1.057,1.08,NOT,9.13,B,-4.861,8
CC1(CN1)C(O)C=C,SP1_Nda,0.659,-0.055,13.99,7.12,B,-2.726,8
CC1(CN1)C(O)C=O,SP1_P2,1.592,1.46,12.74,6.48,B,-3.821,8
CC1(CN1)C(O)C#N,SP1_P3,1.153,2.646,11.74,4.57,B,-4.721,8
CC1(CN1)C(F)C=C,SP1_Na,-0.796,-0.055,NOT,6.14,B,-2.535,8
CC1(CN1)C(F)C=O,SP1_P2,0.975,1.46,13.94,5.51,B,-3.821,8
CC1(CN1)C(F)C#N,SP1_Na,0.027,-0.055,NOT,3.59,B,-2.535,8
CC(C=C)C1(C)CO1,C3_SNa,-2.196,-3.525,NOT,-4.20,N,0.446,8
CC(C=O)C1(C)CO1,Na_SNa,-0.933,-1.19,16.70,-4.20,N,-2.22,8
CC(C#N)C1(C)CO1,P1_SNa,-0.906,-0.055,NOT,-4.21,N,-2.535,8
CC1(CO1)C(N)C=C,SNa_P1,0.096,-0.055,NOT,9.19,B,-4.322,8
CC1(CO1)C(O)C=C,SNa_Nda,0.124,-1.19,13.57,-3.42,A,-1.991,8
CC1(CO1)C(O)C=O,SNa_P2,1.18,0.325,12.33,-3.97,A,-3.237,8
CC1(CO1)C(O)C#N,SNa_P3,0.577,1.511,11.32,-4.23,A,-4.203,8
CC1(CO1)C(F)C#N,SNa_Na,-1.139,-1.19,NOT,-4.23,N,-2.22,8
CC(C#C)C1(C)CC1,C5_SC5,-3.5,-3.313,NOT,NOT,N,0.641,8
CC1(CC1)C(N)C#C,SC5_P2,-1.043,-0.736,NOT,8.97,B,-2.647,8
CC1(CC1)C(O)C#C,SC5_P2,-1.208,-0.736,15.80,-2.45,A,-1.086,8
CC1(CC1)C(F)C#C,SC5_Na,-2.814,-2.251,NOT,NOT,N,-0.062,8
CC(C#C)C1(N)CC1,C5_SP1,-0.906,-1.116,NOT,10.00,B,-3.073,8
NC(C#C)C1(N)CC1,P2_SP1,1.277,1.46,NOT,9.23,B,-5.645,8
NC1(CC1)C(O)C#C,SP1_P2,0.947,1.46,12.89,9.32,B,-5.734,8
