smiles,martini_bead,dg_wo_aa,dg_wo_cg,apka,bpka,acidity,log_perm_coeff,n_atoms
OC(=O)CONC=O,P1_P2,1.592,1.46,3.30,-4.65,A,-7.856,8
FC(=C)CONC=N,C5_P3,0.329,0.449,NOT,9.15,B,-3.74,8
CC(=N)NCCC=C,P1_C4,-1.29,-1.883,NOT,12.74,B,-4.973,8
CC(=N)NCCC=O,P2_Na,0.384,0.325,17.11,12.67,B,-8.017,8
NC(=N)NCCC=O,P4_Na,1.881,1.628,17.10,12.55,B,-8.37,8
NC(=O)NCCC=O,P4_Na,1.826,1.628,15.14,-2.04,A,-4.762,8
CC(=N)NNCC=O,Nd_P3,1.839,1.511,17.68,11.20,B,-7.541,8
CC(=N)NNCC#N,Nd_P3,1.496,1.511,19.22,11.14,B,-7.493,8
CC(=O)NNCC=C,P2_P1,1.386,1.46,13.10,3.56,B,-3.821,8
CC(=O)NNCC=O,P5_Na,1.977,1.527,12.41,2.33,A,-5.485,8
NC(=N)NNCC=C,P4_P1,1.867,2.763,NOT,12.06,B,-8.788,8
NC(=N)NNCC=O,P4_Na,2.649,1.628,17.62,11.95,B,-8.301,8
NC(=N)NNCC#N,P4_P1,2.333,2.763,19.52,10.80,B,-8.243,8
NC(=O)NNCC=C,P4_P1,1.922,2.763,12.86,3.39,B,-5.132,8
NC(=O)NNCC=O,P4_Na,2.581,1.628,12.17,2.16,A,-4.762,8
CC(=N)NOCC=C,P1_N0,-0.453,-0.468,NOT,9.94,B,-4.062,8
CC(=N)NOCC=O,P2_P2,1.373,1.84,17.32,9.92,B,-6.811,8
CC(=O)NOCC=O,P3_Na,1.235,1.511,8.55,-4.65,A,-4.203,8
NC(=N)NOCC=C,P3_N0,0.933,1.097,19.65,10.57,B,-6.034,8
NC(=N)NOCC=O,P3_P2,2.032,3.026,17.29,10.46,B,-8.139,8
NC(=O)NOCC=O,P4_Na,2.004,1.628,11.46,-4.69,A,-4.762,8
CC(=C)OCCC=C,Na_C3,-3.569,-3.525,NOT,-4.74,N,0.446,8
CC(=C)OCCC=O,Na_Na,-1.002,-1.19,16.65,-4.74,N,-2.22,8
CC(=C)OCCC#N,C5_P1,-1.345,-1.116,NOT,-4.75,N,-0.522,8
CC(=O)OCCC=C,P1_C3,-2.045,-2.39,NOT,-6.99,N,0.285,8
NC(=N)OCCC=O,P3_Na,2.032,1.511,16.63,9.42,B,-6.192,8
NC(=O)OCCC#N,P2_P1,1.016,1.46,14.41,NOT,A,-3.821,8
CC(=C)OCOC=C,Na_Na,-2.224,-1.19,NOT,-4.56,N,-2.22,8
CC(=C)OCOC=O,C5_P1,-1.002,-1.116,NOT,-4.87,N,-0.522,8
NC(=N)OCOC=O,P3_P1,1.784,2.646,NOT,9.19,B,-6.489,8
NC(=O)OCOC=O,P2_P1,1.263,1.46,14.51,-6.89,A,-3.821,8
CC(=C)OCON=C,C5_P1,-1.002,-1.116,NOT,4.04,B,-0.522,8
NC(=N)OCON=C,P2_P1,1.071,1.46,NOT,9.17,B,-5.586,8
CC(=C)CCCC#C,C4_C5,-4.118,-4.08,NOT,NOT,N,0.45,8
CC(=O)CCCC#C,P1_C5,-1.592,-1.116,19.63,-7.27,N,-0.522,8
NC(=N)CCCC#C,P1_N0,-0.48,-0.468,NOT,12.86,B,-6.662,8
OC(=O)CCCC#C,P1_C5,-0.865,-1.116,4.54,NOT,A,-3.344,8
FC(=C)CCCC#C,C5_C5,-3.047,-3.313,NOT,NOT,N,0.641,8
NC(=N)CNCC#C,P2_P2,1.716,1.84,NOT,11.44,B,-8.22,8
NC(=O)CNCC#C,P2_P2,1.935,1.84,16.09,7.67,B,-4.577,8
OC(=O)CNCC#C,P1_P2,2.883,1.46,2.54,8.36,Z,-9.634,8
FC(=C)CNCC#C,C5_P2,-0.494,-0.736,NOT,6.80,B,-1.085,8
CC(=C)COCC#C,C4_P2,-1.935,-1.503,NOT,-4.24,N,-0.375,8
NC(=N)COCC#C,P3_Na,1.071,1.511,NOT,11.40,B,-7.86,8
NC(=O)COCC#C,P3_Na,1.084,1.511,15.48,-4.27,A,-4.203,8
FC(=C)COCC#C,C5_Na,-1.661,-2.251,NOT,-4.26,N,-0.062,8
CC(=N)NCCC#C,P2_C5,-0.851,-0.736,NOT,12.56,B,-5.864,8
NC(=N)NCCC#C,P4_C5,0.686,0.566,NOT,12.56,B,-6.303,8
NC(=O)NCCC#C,P4_C5,1.071,0.566,15.34,-2.07,A,-2.775,8
CC(=N)NNCC#C,Nd_P3,1.455,1.511,NOT,11.16,B,-7.509,8
CC(=O)NNCC#C,Na_P3,1.345,1.511,12.48,3.10,B,-4.203,8
NC(=N)NNCC#C,P4_P2,2.279,3.143,NOT,11.98,B,-9.275,8
NC(=O)NNCC#C,P4_N0,2.045,1.214,12.25,2.93,B,-3.741,8
NC(=N)NOCC#C,P3_Nda,1.194,1.511,19.56,10.47,B,-6.928,8
NC(=O)NOCC#C,P3_Nda,1.647,1.511,11.38,-4.72,A,-3.973,8
CC(=C)OCCC#C,Na_C5,-1.977,-2.251,NOT,-4.75,N,-0.062,8
CC(=O)OCCC#C,P1_C5,-1.043,-1.116,NOT,-7.00,N,-0.522,8
NC(=O)OCCC#C,P2_N0,0.522,-0.088,15.23,NOT,A,-2.207,8
CC=CCCC(C)C,C2_C3,-6.095,-6.214,NOT,NOT,N,0.323,8
CC(C)CCC=CF,C3_C4,-4.777,-5.354,NOT,NOT,N,0.47,8
CC=CCCC(C)N,C2_Nd,-2.992,-3.879,NOT,10.42,B,-0.946,8
CC=CCCC(C)O,C1_P1,-3.102,-2.854,17.80,-1.57,B,0.479,8
CC(O)CCC=CF,Nda_C4,-2.21,-3.019,17.80,-1.57,B,0.489,8
CC=CCCC(C)F,C2_C5,-4.598,-4.94,NOT,NOT,N,0.336,8
CC(F)CCC=CF,C5_C4,-3.267,-4.08,NOT,NOT,N,0.45,8
CC=CCCC(F)F,C2_N0,-3.541,-4.293,NOT,NOT,N,0.302,8
CC(C)CCC=NN,C3_Nd,-3.034,-3.525,NOT,5.19,B,0.534,8
CC(C)CCC=NO,C3_P1,-2.635,-2.39,11.39,3.53,B,0.285,8
CC(F)CCC=NO,C5_P1,-1.359,-1.116,10.56,2.61,A,-0.522,8
NN=CCCC(F)F,Nd_N0,-1.084,-1.604,NOT,3.21,B,-1.044,8
CN=CNCC(C)C,P2_C3,-1.496,-2.01,NOT,11.24,B,-3.745,8
CC(C)CN=CNN,C3_P3,-0.714,-0.825,NOT,9.47,B,-2.805,8
CC(C)CN=CNO,C3_P4,-0.645,-0.707,15.39,8.26,B,-2.422,8
CN=CNCC(C)N,P1_P1,1.167,1.08,NOT,10.93,B,-6.627,8
CC(N)CN=CNO,Nd_P4,1.469,1.628,15.39,8.52,B,-6.003,8
CN=CNCC(C)O,P1_P1,0.92,1.08,15.28,10.66,B,-6.368,8
CC(O)CN=CNN,Nda_P4,1.661,1.628,15.01,8.90,B,-6.346,8
CC(O)CN=CNO,Nda_P4,1.455,1.628,14.86,7.69,B,-5.187,8
CN=CNCC(C)F,P2_C5,-0.645,-0.736,NOT,10.54,B,-4.183,8
CC(F)CN=CNN,C5_P4,0.398,0.566,NOT,8.77,B,-4.117,8
CC=NNCC(F)F,Nd_N0,-1.208,-1.604,19.96,3.14,B,-1.044,8
CC=COCC(C)C,C5_C3,-3.981,-4.587,NOT,-4.72,N,0.477,8
CC(C)COC=CF,C3_Na,-3.198,-3.525,NOT,-4.82,N,0.446,8
CC=COCC(C)N,C5_P1,-1.016,-1.116,NOT,9.67,B,-2.749,8
CC=COCC(C)O,Na_Nda,-1.606,-1.19,14.84,-2.87,A,-1.991,8
CC(O)COC=CF,P1_N0,-0.645,-0.468,14.84,-2.87,A,-1.534,8
CC=COCC(C)F,C5_C5,-2.924,-3.313,NOT,-4.73,N,0.641,8
CC=COCC(F)F,C5_N0,-2.279,-2.665,NOT,-4.75,N,0.516,8
FC=COCC(F)F,N0_N0,-1.524,-2.017,NOT,-4.85,N,-0.05,8
CC(C)COC=NN,C3_P3,-1.318,-0.825,18.85,3.44,B,-0.801,8
CC(C)COC=NO,C3_P2,-1.359,-2.01,10.41,1.42,A,-0.152,8
CC(O)COC=NN,P1_P1,0.851,1.08,14.83,2.93,B,-3.133,8
CC(O)COC=NO,P1_P2,0.975,1.46,10.00,0.93,A,-3.821,8
CC(F)COC=NO,C5_P2,-0.577,-0.736,9.65,0.52,A,-1.086,8
CC=NOCC(C)C,Na_C3,-2.677,-3.525,NOT,4.59,B,0.447,8
CC=NOCC(C)F,P1_C5,-1.881,-1.116,NOT,3.63,B,-0.522,8
CC=NOCC(F)F,Na_N0,-1.62,-1.604,NOT,2.61,B,-1.176,8
CC=CCNC(C)C,Nd_C3,-2.704,-3.525,NOT,9.90,B,-1.214,8
CC(C)NCC=CF,C3_P1,-1.894,-2.39,NOT,9.40,B,-1.33,8
CN=CNNC(C)C,P2_Nd,0.59,0.325,NOT,9.71,B,-5.455,8
CC=CCOC(C)C,Na_C3,-3.185,-3.525,NOT,-4.17,N,0.446,8
CC(C)OCC=CF,Na_C4,-2.292,-3.019,NOT,-4.17,N,0.336,8
CC=CCCN(C)C,C2_P1,-2.828,-2.744,NOT,9.76,B,-0.988,8
CN(C)CCC=CF,P1_C4,-1.565,-1.883,NOT,9.76,B,-2.291,8
CC=CCCC(C)=C,C2_C4,-5.724,-5.707,NOT,NOT,N,0.443,8
CC(=C)CCC=CF,C4_C4,-4.351,-4.847,NOT,NOT,N,0.527,8
CC=CCCC(C)=O,C2_P1,-2.333,-2.744,19.60,-7.28,N,0.294,8
CC(=O)CCC=CF,P1_C4,-1.359,-1.883,19.60,-7.28,N,-0.063,8
CC=CCCC(N)=N,C4_P1,-1.386,-1.883,NOT,12.80,B,-5.012,8
CC=CCCC(N)=O,C4_P2,-1.029,-1.503,16.97,-1.49,B,-0.375,8
CC=CCCC(F)=C,C2_C5,-4.516,-4.94,NOT,NOT,N,0.336,8
FC=CCCC(F)=C,C4_C5,-3.267,-4.08,NOT,NOT,N,0.45,8
CC(=C)CCC=NN,C4_Nd,-2.622,-3.019,NOT,5.09,B,0.319,8
CC(=C)CCC=NO,C4_P1,-2.43,-1.883,11.24,3.42,A,-0.063,8
NC(=N)CCC=NO,P2_P1,1.029,1.46,10.59,12.92,B,-8.674,8
NC(=O)CCC=NO,P2_P1,1.359,1.46,10.48,2.64,A,-3.821,8
ON=CCCC(O)=O,P1_P1,0.741,1.08,4.12,2.30,A,-6.409,8
NN=CCCC(F)=C,Nd_C5,-2.004,-2.251,NOT,3.96,B,0.024,8
ON=CCCC(F)=C,P1_C5,-1.743,-1.116,10.26,2.33,A,-0.522,8
CN=CNCC(C)=C,P2_C4,-1.112,-1.503,NOT,10.74,B,-3.625,8
CN=CNCC(C)=O,P2_P1,1.153,1.46,18.13,9.83,B,-6.234,8
CC(=O)CN=CNO,Na_P3,1.235,1.511,15.39,6.85,B,-4.203,8
CN=CNCC(N)=N,P2_P2,2.1,1.84,NOT,11.35,B,-8.142,8
NN=CNCC(N)=N,P3_P2,2.649,3.026,18.35,11.33,B,-8.804,8
NC(=N)CN=CNO,P3_P2,2.402,3.026,15.39,10.15,B,-7.865,8
CN=CNCC(N)=O,P2_P2,2.196,1.84,16.20,9.46,B,-6.36,8
NC(=O)CN=CNO,P3_P2,2.896,3.026,15.18,6.48,B,-5.188,8
CN=CNCC(O)=O,P2_P1,1.318,1.46,2.94,10.46,Z,-11.246,8
ON=CNCC(O)=O,P3_P1,1.867,2.646,3.81,3.00,A,-8.195,8
CN=CNCC(F)=C,P2_C5,-0.618,-0.736,NOT,10.00,B,-3.663,8
CC=NNCC(N)=O,Nd_P2,0.563,0.325,16.18,4.20,B,-3.155,8
CC=COCC(C)=C,Na_C4,-3.871,-3.019,NOT,-4.74,N,0.336,8
CC(=C)COC=CF,C4_Na,-2.663,-3.019,NOT,-4.84,N,0.336,8
NC(=N)COC=CF,P2_Na,0.22,0.325,NOT,11.28,B,-7.0,8
NC(=O)COC=CF,P2_Na,0.275,0.325,15.08,-4.86,A,-3.237,8
CC=COCC(O)=O,C5_P1,-0.947,-1.116,4.07,-4.77,A,-3.808,8
OC(=O)COC=CF,P1_N0,-0.837,-0.468,3.42,-4.87,A,-5.489,8
CC=COCC(F)=C,Na_C5,-3.143,-2.251,NOT,-4.75,N,-0.062,8
FC=COCC(F)=C,Na_C5,-2.141,-2.251,NOT,-4.86,N,-0.062,8
CC(=C)COC=NN,C4_P1,-1.482,-1.883,18.85,3.29,B,-0.063,8
CC(=C)COC=NO,C4_P2,-1.482,-1.503,10.30,1.27,A,-0.375,8
CC(=O)COC=NO,Na_P2,0.631,0.325,9.76,0.62,A,-3.237,8
NN=COCC(O)=O,P1_P1,1.112,1.08,3.59,2.13,A,-6.931,8
NN=COCC(F)=C,P1_C5,-1.29,-1.116,18.85,2.18,B,-0.522,8
ON=COCC(F)=C,P2_C5,-1.153,-0.736,9.39,0.20,A,-1.086,8
CC=NOCC(C)=C,P1_C4,-3.116,-1.883,NOT,4.44,B,-0.063,8
CC=NOCC(F)=C,Na_C5,-2.347,-2.251,NOT,3.30,B,-0.062,8
CC=CCNC(C)=N,C4_P1,-1.331,-1.883,NOT,12.33,B,-4.668,8
CC(=N)NCC=CF,Nd_P1,-0.069,-0.055,NOT,12.27,B,-7.32,8
NC(=N)NCC=CF,P3_C5,0.645,0.449,NOT,12.27,B,-6.154,8
NC(=O)NCC=CF,P5_C5,0.659,0.466,14.76,-1.89,A,-3.417,8
CC(=N)NCC=NN,P1_P1,1.016,1.08,NOT,11.88,B,-7.505,8
CC(=N)NCC=NO,P2_P1,1.071,1.46,9.23,12.28,B,-8.359,8
CC(=O)NCC=NN,P2_P1,1.633,1.46,15.73,4.12,B,-3.821,8
CC(=O)NCC=NO,P2_P1,1.688,1.46,9.39,2.37,A,-3.821,8
NN=CCNC(N)=N,Nd_P4,1.839,1.628,NOT,12.15,B,-8.321,8
NC(=N)NCC=NO,P4_P1,1.99,2.763,9.23,12.37,B,-8.83,8
NN=CCNC(N)=O,Nd_P4,2.375,1.628,15.13,3.98,B,-4.908,8
NC(=O)NCC=NO,P4_P1,2.471,2.763,9.26,2.24,A,-5.132,8
CN=CNNC(C)=N,P2_P2,1.647,1.84,NOT,10.53,B,-7.397,8
CC(=N)NNC=NO,P2_P3,2.375,3.026,11.64,10.45,B,-8.13,8
CN=CNNC(C)=O,P2_P2,1.537,1.84,13.66,8.71,B,-5.616,8
CC(=O)NN=CNO,Na_P4,1.633,1.628,10.20,1.61,A,-4.762,8
CN=CNNC(N)=N,P2_P4,2.498,3.143,NOT,11.34,B,-9.163,8
NN=CNNC(N)=N,P3_P4,2.992,4.328,18.34,11.17,B,-10.027,8
NC(=N)NN=CNO,P2_P3,2.128,3.026,15.34,9.46,B,-7.221,8
NN=CNNC(N)=O,P3_P4,3.143,4.328,12.82,6.27,B,-6.873,8
NC(=O)NN=CNO,P1_P3,2.018,2.646,10.18,1.46,A,-4.721,8
CC(=N)NOC=NN,P2_P1,1.071,1.46,18.83,8.56,B,-4.98,8
NN=CONC(N)=O,P2_P3,2.333,3.026,12.63,1.19,A,-5.188,8
NC(=O)NOC=NO,P3_P2,2.333,3.026,9.03,-0.80,A,-5.188,8
CC=CCOC(C)=C,C2_Na,-4.063,-3.879,NOT,-4.76,N,0.345,8
CC(=C)OCC=CF,Na_C4,-2.841,-3.019,NOT,-4.76,N,0.336,8
CC=CCOC(C)=O,C2_P1,-1.99,-2.744,NOT,-7.00,N,0.294,8
NC(=O)OCC=CF,P2_C5,0.151,-0.736,14.76,NOT,A,-1.086,8
CC(=C)OCC=NN,Na_Nd,-1.633,-1.19,NOT,4.27,B,-1.883,8
CC(=C)OCC=NO,C5_P1,-1.675,-1.116,8.52,2.27,A,-0.518,8
CC(=O)OCC=NN,Na_P2,0.329,0.325,NOT,3.63,B,-3.237,8
CC(=O)OCC=NO,Na_P2,0.316,0.325,7.92,1.64,A,-3.237,8
NN=CCOC(N)=N,Nd_P3,1.606,1.511,NOT,9.37,B,-5.887,8
NC(=N)OCC=NO,P2_P1,1.661,1.46,7.96,9.46,B,-5.872,8
NN=CCOC(N)=O,P1_P2,1.167,1.46,15.16,3.50,B,-3.821,8
NC(=O)OCC=NO,P2_P1,1.51,1.46,7.79,1.52,A,-3.821,8
CC(=O)ON=CNN,Na_P4,1.386,1.628,18.17,5.68,B,-4.762,8
CC(=O)ON=CNO,Na_P3,1.057,1.511,15.34,2.41,B,-4.203,8
CN=CNOC(N)=N,N0_P3,1.826,1.097,NOT,8.22,B,-3.802,8
NN=CNOC(N)=N,P1_P3,2.182,2.646,18.33,8.10,B,-5.419,8
NC(=N)ON=CNO,P2_P3,2.045,3.026,15.35,7.03,B,-5.188,8
CN=CNOC(N)=O,N0_P3,1.455,1.097,14.99,6.62,B,-2.985,8
NN=CNOC(N)=O,P3_P2,2.237,3.026,14.85,4.35,B,-5.188,8
CC#CCCC(C)C,C4_C3,-5.079,-5.354,NOT,NOT,N,0.47,8
CC#CCCC(C)N,C4_Nd,-2.43,-3.019,NOT,10.40,B,-2.406,8
CC#CCCC(C)O,C4_Nda,-2.21,-3.019,17.58,-1.67,B,0.489,8
CC#CCCC(C)F,C4_C5,-3.583,-4.08,NOT,NOT,N,0.45,8
CC#CCCC(F)F,C4_N0,-3.143,-3.432,NOT,NOT,N,0.435,8
CC#CCNC(C)C,C4_Nd,-2.718,-3.019,NOT,9.31,B,-1.336,8
CC#CCOC(C)C,C4_Na,-2.635,-3.019,NOT,-4.23,N,0.336,8
CC#CCCN(C)C,C4_P1,-2.512,-1.883,NOT,9.21,B,-1.75,8
CC#CCCC(C)=C,C4_C4,-4.104,-4.847,NOT,NOT,N,0.527,8
CC#CCCC(C)=O,C4_P1,-2.539,-1.883,19.50,-7.29,N,-0.063,8
CC#CCCC(N)=N,C4_P2,-1.277,-1.503,NOT,12.62,B,-5.154,8
CC#CCCC(O)=O,C4_P1,-1.428,-1.883,4.47,NOT,A,-2.87,8
CC#CCCC(F)=C,C4_C5,-3.583,-4.08,NOT,NOT,N,0.45,8
CC#CCNC(C)=N,C4_P2,-1.084,-1.503,NOT,11.19,B,-4.04,8
CC#CCOC(C)=C,C4_Na,-2.347,-3.019,NOT,-4.80,N,0.336,8
CC#CCOC(C)=O,C4_P1,-1.963,-1.883,NOT,-7.03,N,-0.063,8
CCC=CCC(C)C,C3_C3,-5.847,-5.86,NOT,NOT,N,0.195,8
CC(C)CC=CCN,C3_P1,-2.677,-2.39,NOT,9.65,B,-1.574,8
CC(C)CC=CCO,C3_Nda,-2.841,-3.525,16.08,-2.33,N,0.439,8
CC(C)CC=CCF,C3_Na,-4.31,-3.525,NOT,NOT,N,0.446,8
CCC=CCC(C)N,C3_Nd,-2.965,-3.525,NOT,10.40,B,-1.699,8
CC(N)CC=CCF,Nd_Na,-1.277,-1.19,NOT,10.40,B,-4.869,8
CCC=CCC(C)O,C3_Nda,-3.075,-3.525,17.64,-1.65,B,0.439,8
CC(O)CC=CCF,Nda_Na,-1.551,-1.19,17.64,-1.65,B,-1.991,8
CCC=CCC(C)F,C3_C5,-4.489,-4.587,NOT,NOT,N,0.477,8
CC(F)CC=CCN,C5_P1,-1.153,-1.116,NOT,9.65,B,-2.729,8
CC(F)CC=CCO,C5_Nda,-1.661,-2.251,16.08,-2.33,N,0.047,8
CC(F)CC=CCF,C5_Na,-2.828,-2.251,NOT,NOT,N,-0.062,8
CCC=CCC(F)F,C1_N0,-3.734,-4.402,NOT,NOT,N,0.46,8
NCC=CCC(F)F,P1_N0,-0.673,-0.468,NOT,9.65,B,-3.775,8
FCC=CCC(F)F,Na_N0,-2.21,-1.604,NOT,NOT,N,-1.176,8
COC=CCC(C)C,Na_C3,-3.83,-3.525,NOT,-4.70,N,0.446,8
COC=CCC(C)O,Na_Nda,-1.4,-1.19,15.61,-2.53,A,-1.991,8
COC=CCC(C)F,Na_C5,-2.869,-2.251,NOT,-4.70,N,-0.062,8
CNN=CCC(C)C,P2_C3,-1.373,-2.01,NOT,5.12,B,-0.151,8
CNN=CCC(C)F,P2_C5,-0.577,-0.736,NOT,4.14,B,-1.086,8
CON=CCC(C)C,P1_C3,-2.265,-2.39,NOT,4.52,B,0.285,8
CON=CCC(C)F,P1_C5,-1.784,-1.116,NOT,3.52,B,-0.522,8
CON=CCC(F)F,P2_C5,-0.988,-0.736,NOT,2.45,B,-1.086,8
CNN=CNC(C)C,P2_Nd,0.357,0.325,18.26,8.64,B,-4.394,8
CCC=NNC(C)C,N0_Nd,-1.606,-1.604,NOT,5.10,B,-1.044,8
CC(C)NN=CCF,P1_C5,-1.249,-1.116,19.70,3.66,B,-0.522,8
CCC=COC(C)C,C5_C3,-3.981,-4.587,NOT,-4.73,N,0.477,8
CC(C)OC=CCO,C3_P2,-1.373,-2.01,15.54,-2.56,A,-0.152,8
COC=COC(C)C,P1_C3,-2.251,-2.39,NOT,-4.50,N,0.285,8
CON=COC(C)C,P2_C3,-1.743,-2.01,NOT,2.21,B,-0.152,8
CCC=NOC(C)C,Na_C3,-2.512,-3.525,NOT,4.47,B,0.447,8
COC=NOC(C)C,P2_C3,-1.73,-2.01,NOT,2.21,B,-0.152,8
CCC=CCN(C)C,C3_P1,-2.608,-2.39,NOT,8.95,B,-0.893,8
COC=CCN(C)C,C5_P1,-0.961,-1.116,NOT,8.60,B,-1.688,8
CON=CCN(C)C,P2_Nd,0.22,0.325,NOT,7.52,B,-3.275,8
CNN=CNN(C)C,P2_P2,1.633,1.84,18.21,7.23,B,-4.307,8
CON=CNN(C)C,P2_P2,1.29,1.84,NOT,5.07,B,-4.307,8
CC(C)CC=CC=C,C3_C4,-5.587,-5.354,NOT,NOT,N,0.47,8
CC(C)CC=CC=O,C3_Na,-3.13,-3.525,NOT,-4.22,N,0.446,8
CC(C)CC=CC#N,C3_N0,-2.869,-3.939,NOT,NOT,N,0.365,8
CC(N)CC=CC=C,P1_C1,-2.128,-2.854,NOT,10.40,B,-1.356,8
CC(O)CC=CC=C,P1_C1,-2.32,-2.854,17.72,-1.61,B,0.479,8
CC(O)CC=CC=O,Nda_Na,-0.837,-1.19,17.72,-1.61,B,-1.991,8
CC(O)CC=CC#N,P1_N0,-0.878,-0.468,17.27,-1.81,B,-1.534,8
CC(F)CC=CC=C,C5_C4,-4.118,-4.08,NOT,NOT,N,0.45,8
CC(F)CC=CC=O,C5_Na,-1.551,-2.251,NOT,-4.45,N,-0.062,8
CC(F)CC=CC#N,C5_N0,-2.306,-2.665,NOT,NOT,N,0.516,8
FC(F)CC=CC=O,N0_Na,-1.62,-1.604,NOT,-4.69,N,-1.176,8
FC(F)CC=CC#N,N0_N0,-2.361,-2.017,NOT,NOT,N,-0.05,8
CC(C)CC=NN=C,C3_N0,-3.432,-3.939,NOT,-0.32,B,0.365,8
CC(N)CC=NN=C,P1_C5,-0.81,-1.116,NOT,10.05,B,-3.122,8
CC(O)CC=NN=C,P1_C5,-1.043,-1.116,15.56,-0.84,A,-0.522,8
CC(F)CC=NN=C,C5_N0,-2.237,-2.665,NOT,-1.29,B,0.516,8
FC(F)CC=NN=C,N0_C5,-2.045,-2.665,NOT,-2.31,N,0.516,8
CC(C)NC=CC#N,Nd_N0,-1.249,-1.604,NOT,3.48,B,-1.044,8
CC(C)OC=CC=C,C3_Na,-3.761,-3.525,NOT,-4.75,N,0.446,8
CC(C)OC=CC=O,C3_P2,-1.496,-2.01,NOT,-4.64,N,-0.152,8
CC(C)OC=CC#N,Na_N0,-1.647,-1.604,NOT,-4.79,N,-1.176,8
CC(C)OC=NN=C,Na_N0,-2.114,-1.604,NOT,-1.47,B,-1.176,8
CN(C)CC=CC=C,P1_C4,-2.196,-1.883,NOT,9.01,B,-1.552,8
CN(C)CC=CC=O,Nd_Na,-0.796,-1.19,NOT,8.21,B,-2.692,8
CN(C)CC=CC#N,P1_N0,-0.645,-0.468,NOT,7.83,B,-1.961,8
CN(C)N=CNC=N,P1_P3,1.908,2.646,NOT,8.85,B,-6.159,8
CN(C)N=CNC=O,P1_P3,1.839,2.646,11.62,0.89,A,-4.721,8
CC(C)CC=CC#C,C3_C4,-4.241,-5.354,NOT,NOT,N,0.47,8
CC(N)CC=CC#C,P1_C4,-1.743,-1.883,NOT,10.40,B,-2.914,8
CC(O)CC=CC#C,P1_C4,-1.386,-1.883,17.57,-1.67,B,-0.063,8
CC(F)CC=CC#C,C5_C4,-2.828,-4.08,NOT,NOT,N,0.45,8
FC(F)CC=CC#C,N0_C4,-2.416,-3.432,NOT,NOT,N,0.435,8
CC(C)NN=CC#C,P1_N0,-0.892,-0.468,NOT,3.89,B,-1.534,8
CC(C)OC=CC#C,Na_N0,-2.375,-1.604,NOT,-4.77,N,-1.176,8
CC(C)ON=CC#C,C3_P1,-1.881,-2.39,NOT,2.97,B,0.285,8
CCC=CCC(C)=C,C3_C4,-5.642,-5.354,NOT,NOT,N,0.47,8
CC(=C)CC=CCN,C4_P1,-2.004,-1.883,NOT,9.65,B,-2.183,8
CC(=C)CC=CCO,C4_Nda,-2.498,-3.019,16.16,-2.29,N,0.489,8
CCC=CCC(C)=O,C3_P1,-2.361,-2.39,16.41,-7.36,N,0.285,8
CCC=CCC(N)=N,C3_P2,-1.373,-2.01,NOT,12.48,B,-4.669,8
NCC=CCC(N)=N,P1_P2,1.112,1.46,NOT,12.48,B,-8.478,8
NC(=N)CC=CCO,P1_P1,1.29,1.08,16.16,12.48,B,-8.012,8
NCC=CCC(N)=O,P1_P2,1.565,1.46,16.77,9.35,B,-5.764,8
NC(=O)CC=CCO,P2_P1,1.057,1.46,15.96,-2.03,A,-3.821,8
CCC=CCC(O)=O,C3_P1,-1.935,-2.39,4.93,NOT,A,-1.808,8
CCC=CCC(F)=C,C3_C5,-4.53,-4.587,NOT,NOT,N,0.477,8
NCC=CCC(F)=C,P1_C5,-1.318,-1.116,NOT,9.65,B,-2.729,8
OCC=CCC(F)=C,Nda_C5,-1.853,-2.251,16.16,-2.29,N,0.047,8
FCC=CCC(F)=C,Na_C5,-3.102,-2.251,NOT,NOT,N,-0.062,8
COC=CCC(C)=C,Na_C4,-3.747,-3.019,NOT,-4.71,N,0.336,8
COC=CCC(N)=O,Na_P2,0.288,0.325,16.41,-2.29,N,-3.237,8
CNN=CCC(N)=N,P2_P2,1.318,1.84,19.89,12.03,B,-8.682,8
CNN=CCC(O)=O,P2_P1,2.059,1.46,4.45,3.71,A,-6.764,8
CON=CCC(C)=C,P1_C4,-2.855,-1.883,NOT,4.30,B,-0.063,8
CON=CCC(N)=O,P1_P2,1.016,1.46,13.60,3.37,B,-3.821,8
CON=CCC(O)=O,P2_Nda,0.371,0.325,4.07,2.98,A,-6.627,8
CON=CCC(F)=C,Na_C5,-2.237,-2.251,NOT,3.13,B,-0.062,8
CC(=N)NC=CCN,P2_P1,1.167,1.46,NOT,12.23,B,-8.328,8
CC(=N)NC=CCO,P1_P1,1.002,1.08,15.60,12.12,B,-7.715,8
CC(=O)NC=CCN,P2_P1,1.345,1.46,14.21,9.22,B,-5.635,8
NCC=CNC(N)=N,P1_P4,2.141,2.763,NOT,12.32,B,-8.825,8
NC(=N)NC=CCO,P4_Nda,1.647,1.628,15.60,12.21,B,-8.094,8
NC(=N)NC=CCF,P3_C5,0.686,0.449,NOT,12.12,B,-6.102,8
NCC=CNC(N)=O,P1_P4,2.581,2.763,14.12,9.22,B,-6.902,8
NC(=O)NC=CCO,P4_Nda,1.62,1.628,14.08,-2.54,A,-4.906,8
NC(=O)NC=CCF,P5_C5,0.851,0.466,14.07,-6.02,A,-3.417,8
COC=CNC(C)=O,Na_P2,0.316,0.325,13.78,-4.71,A,-3.237,8
